"folioviv","","conex_inte","ing_cor","energia","comunica","menores"
"100013601","","1","76403.7","3600","1200","0"
"100013602","","1","42987.73","495","3450","0"
"100013603","","1","580697.74","2475","3570","0"
"100013604","","1","46252.71","858","1350","0"
"100013606","","2","53837.09","300","600","1"
"100026701","","1","237742.54","1920","3750","0"
"100026703","","2","32606.55","3525","960","0"
"100026704","","2","169918.01","360","1800","0"
"100026706","","1","17311.46","840","1356","1"
"100027201","","1","120488.31","1305","1920.96","1"
"100027202","","2","52304.57","252","2345.32","0"
"100045501","","1","28800.64","1999.59","525","2"
"100045502","","2","109556.48","3636.29","8709.67","0"
"100045503","","2","41048.21","1569","1144.64","0"
"100045505","","2","56101.17","1111.2","290.32","0"
"100045506","","1","61800.87","135","900","0"
"100054301","","2","42480.96","2130.38","580.64","1"
"100054302","","1","49144.17","2308.06","1167","0"
"100054303","","1","52782.15","2302.25","3472.25","2"
"100054305","","2","28634.63","210","890.32","0"
"100054306","","1","50869.54","730.64","1780.64","1"
"100058901","","2","28760.84","2222.41","580.64","0"
"100058902","","2","29152.14","336","580.64","0"
"100058903","","1","60344.49","2465.8","2058.29","0"
"100058906","","2","12644.48","365.32","290.32","0"
"100062801","","2","28155.72","1275","1860","3"
"100062802","","1","70401.62","2700","2820","0"
"100062804","","2","35581.94","525","600","0"
"100067401","","1","50322.05","613.79","1787.32","0"
"100067402","","1","203294.63","360","2700","0"
"100067403","","2","19858.04","223.5","1936.35","0"
"100067404","","2","28912.12","1425","822","0"
"100067405","","1","71437.18","675","2415.38","0"
"100067406","","2","77493.53","345","3840.48","0"
"100068901","","2","24962.31","1681.45","725.8","2"
"100068902","","1","40441.11","300","2610.96","0"
"100069801","","2","49774.59","1980","1080","1"
"100069802","","1","50654.65","2358","3003","0"
"100069803","","1","95097.12","225","1200","1"
"100069804","","1","60954.08","1500","2700","0"
"100069806","","1","32532.77","405","2055","0"
"100073401","","2","20569.5","600","290.32","0"
"100073402","","2","43958.61","900","450","0"
"100073403","","2","66280.36","1730.32","1635.19","0"
"100073404","","1","44766.84","196.5","1367.32","4"
"100073405","","1","58307.46","1425","2511.29","0"
"100074001","","1","28279.6","1998.38","1316.12","0"
